,CO2
2025-07-31,428.13118907845023
2025-08-31,428.2621781890208
2025-09-30,428.39037323422076
2025-10-31,428.52443432753546
2025-11-30,428.6550869589307
2025-12-31,428.79111412120164
2026-01-31,428.9278403302125
2026-02-28,429.0516236092634
2026-03-31,429.1893564455799
2026-04-30,429.32294647137655
2026-05-31,429.46132354916864
2026-06-30,429.5954289681458
2026-07-31,429.73421836048226
2026-08-31,429.87315435354554
2026-09-30,430.0077069047397
2026-10-31,430.14685400284975
2026-11-30,430.2815754380813
2026-12-31,430.4208576434212
2027-01-31,430.5601878868873
2027-02-28,430.68605439350233
2027-03-31,430.8254538118702
2027-04-30,430.9603771033079
2027-05-31,431.0998207936128
2027-06-30,431.2347795026003
2027-07-31,431.37425152694493
2027-08-31,431.51373362561486
2027-09-30,431.6487230612943
2027-10-31,431.7882196669925
2027-11-30,431.9232207082946
2027-12-31,432.062726598491
2028-01-31,432.2022357898423
2028-02-29,432.3327461772161
2028-03-31,432.47226012223047
2028-04-30,432.60727503498543
2028-05-31,432.7467920223441
2028-06-30,432.8818093689746
